"month","applications","screening","submitted_to_client","interviews","offers","hires","placements"
2025-01-01,41,6,8,4,1,2,1
2025-02-01,105,17,13,10,1,0,0
2025-03-01,196,38,16,26,5,7,1
2025-04-01,287,65,32,24,4,11,1
2025-05-01,469,95,59,51,12,21,3
2025-06-01,550,110,71,48,6,8,4
2025-07-01,718,149,79,77,7,22,4
2025-08-01,835,170,110,70,13,39,5
2025-09-01,958,219,114,93,16,32,11
2025-10-01,1167,225,154,109,21,39,11
2025-11-01,1231,248,138,145,21,43,7
2025-12-01,1571,323,172,153,29,54,12
2026-01-01,1910,345,230,204,36,74,16
2026-02-01,1842,372,218,174,36,88,13
2026-03-01,2281,423,271,209,42,81,18
2026-04-01,2446,502,296,221,49,92,31
2026-05-01,3100,639,385,292,58,126,30
2026-06-01,3764,735,468,385,65,149,41
2026-07-01,6136,1223,743,633,135,230,70
2026-08-01,393,81,46,30,11,13,7
