"offer_id","application_id","offer_date","offered_salary","offer_status","joining_date","candidate_id","job_id","job_title","min_salary","max_salary","salary_position","difference_from_salary_midpoint","final_offer_status"
419,21184,2026-06-21,190000.00,Declined,,1279,976,DevOps Engineer,93156.00,147565.00,ABOVE RANGE,69639.50,Declined
206,21275,2026-05-04,190000.00,Accepted,2026-05-23,6909,544,Java Developer,82188.00,122153.00,ABOVE RANGE,87829.50,Accepted
532,23637,2026-04-21,190000.00,Negotiating,,4545,958,Senior Data Analyst,73182.00,110958.00,ABOVE RANGE,97930.00,Negotiating
441,25116,2025-12-16,190000.00,Rescinded,,7396,154,AI Engineer,53300.00,75376.00,ABOVE RANGE,125662.00,Rescinded
374,17158,2026-08-05,189000.00,Accepted,2026-09-11,7610,314,Data Scientist,42129.00,76362.00,ABOVE RANGE,129754.50,Accepted
298,12034,2026-05-21,189000.00,Accepted,2026-06-08,3710,809,AI Engineer,73080.00,116851.00,ABOVE RANGE,94034.50,Accepted
404,9433,2026-04-06,189000.00,Negotiating,,5984,41,Full Stack Developer,81408.00,140236.00,ABOVE RANGE,78178.00,Negotiating
40,27035,2026-09-09,188000.00,Accepted,2026-10-08,8621,441,Senior Java Developer,97279.00,156808.00,ABOVE RANGE,60956.50,Accepted
6,14376,2025-04-28,188000.00,Negotiating,,9350,505,AI Engineer,76662.00,132116.00,ABOVE RANGE,83611.00,Negotiating
380,9136,2026-09-19,188000.00,Accepted,2026-10-28,7890,393,Java Developer,49920.00,96174.00,ABOVE RANGE,114953.00,Accepted
192,27900,2026-09-09,188000.00,Declined,,5493,419,ML Engineer,69066.00,102511.00,ABOVE RANGE,102211.50,Declined
216,13429,2026-07-15,187000.00,Declined,,812,42,Data Scientist,70422.00,113675.00,ABOVE RANGE,94951.50,Declined
187,483,2026-08-15,187000.00,Accepted,2026-10-05,1297,439,Full Stack Developer,104080.00,135830.00,ABOVE RANGE,67045.00,Accepted
501,3371,2026-08-18,187000.00,Declined,,8907,918,Java Developer,55812.00,112635.00,ABOVE RANGE,102776.50,Declined
228,22882,2026-08-10,187000.00,Accepted,2026-08-27,1668,546,Senior Java Developer,66384.00,99863.00,ABOVE RANGE,103876.50,Accepted
55,6083,2026-01-16,187000.00,Accepted,2026-03-12,5167,584,Data Scientist,43464.00,89172.00,ABOVE RANGE,120682.00,Accepted
330,7010,2026-05-03,187000.00,Accepted,2026-06-19,4047,234,Java Developer,48536.00,106911.00,ABOVE RANGE,109276.50,Accepted
10,9349,2026-06-18,187000.00,Negotiating,,2734,840,ML Engineer,63225.00,118613.00,ABOVE RANGE,96081.00,Negotiating
134,8571,2026-06-26,187000.00,Rescinded,,1301,692,ML Engineer,88088.00,111574.00,ABOVE RANGE,87169.00,Rescinded
322,7422,2026-03-07,187000.00,Accepted,2026-04-26,2128,410,Data Scientist,106560.00,138680.00,ABOVE RANGE,64380.00,Accepted
304,7224,2026-09-14,186000.00,Accepted,2026-10-30,1351,828,Senior Java Developer,70650.00,112084.00,ABOVE RANGE,94633.00,Accepted
284,13967,2026-06-16,186000.00,Accepted,2026-07-05,9612,767,Senior Java Developer,128520.00,160186.00,ABOVE RANGE,41647.00,Accepted
401,11477,2026-08-04,186000.00,Accepted,2026-09-04,7194,772,Senior Data Analyst,70540.00,100207.00,ABOVE RANGE,100626.50,Accepted
196,22337,2026-04-26,186000.00,Negotiating,,321,539,AI Engineer,32913.00,57588.00,ABOVE RANGE,140749.50,Negotiating
358,225,2026-08-22,186000.00,Declined,,191,146,Java Developer,74529.00,124006.00,ABOVE RANGE,86732.50,Declined
406,24264,2026-09-10,186000.00,Accepted,2026-10-08,7869,942,Data Analyst,43964.00,77535.00,ABOVE RANGE,125250.50,Accepted
345,21860,2026-08-03,186000.00,Accepted,2026-09-03,7329,751,DevOps Engineer,83832.00,106603.00,ABOVE RANGE,90782.50,Accepted
170,5907,2026-08-01,185000.00,Negotiating,,2886,332,Senior Java Developer,119000.00,176699.00,ABOVE RANGE,37150.50,Negotiating
63,26618,2026-04-23,185000.00,Accepted,2026-05-14,8518,622,Data Analyst,47184.00,85513.00,ABOVE RANGE,118651.50,Accepted
214,7628,2026-08-16,185000.00,Accepted,2026-10-13,5487,440,Data Scientist,38937.00,71984.00,ABOVE RANGE,129539.50,Accepted
498,23892,2026-06-06,185000.00,Rescinded,,937,484,Full Stack Developer,83172.00,104458.00,ABOVE RANGE,91185.00,Rescinded
185,20023,2025-09-22,185000.00,Rescinded,,8125,982,Full Stack Developer,81300.00,134983.00,ABOVE RANGE,76858.50,Rescinded
467,20720,2026-09-03,185000.00,Accepted,2026-10-31,352,864,Data Scientist,42471.00,93648.00,ABOVE RANGE,116940.50,Accepted
476,21823,2026-06-14,185000.00,Accepted,2026-07-21,1307,364,Data Analyst,64278.00,106120.00,ABOVE RANGE,99801.00,Accepted
131,14713,2026-08-19,184000.00,Accepted,2026-10-13,1016,396,DevOps Engineer,58984.00,94252.00,ABOVE RANGE,107382.00,Accepted
120,20807,2026-05-16,184000.00,Accepted,2026-06-23,628,357,Business Analyst,37137.00,69821.00,ABOVE RANGE,130521.00,Accepted
459,1154,2026-08-30,184000.00,Accepted,2026-10-05,5864,535,Full Stack Developer,84248.00,115220.00,ABOVE RANGE,84266.00,Accepted
256,19390,2026-09-09,184000.00,Accepted,2026-09-28,4338,826,Data Scientist,37713.00,81386.00,ABOVE RANGE,124450.50,Accepted
447,17721,2026-07-07,183000.00,Accepted,2026-08-07,8247,804,Data Analyst,44193.00,94416.00,ABOVE RANGE,113695.50,Accepted
137,13358,2026-09-11,183000.00,Accepted,2026-09-27,9412,563,Senior Java Developer,83688.00,104986.00,ABOVE RANGE,88663.00,Accepted
195,3515,2026-01-25,183000.00,Accepted,2026-02-10,3197,747,Full Stack Developer,93625.00,129016.00,ABOVE RANGE,71679.50,Accepted
334,1996,2026-07-30,183000.00,Rescinded,,1329,730,Senior Data Analyst,47356.00,104410.00,ABOVE RANGE,107117.00,Rescinded
139,29054,2025-06-21,183000.00,Extended,,6817,505,AI Engineer,76662.00,132116.00,ABOVE RANGE,78611.00,Extended
558,23805,2026-05-30,183000.00,Extended,,6797,74,Data Analyst,36519.00,59953.00,ABOVE RANGE,134764.00,Extended
129,22935,2026-07-23,182000.00,Extended,,9955,979,AI Engineer,66408.00,113657.00,ABOVE RANGE,91967.50,Extended
270,10675,2026-08-01,182000.00,Declined,,8461,643,Data Scientist,90552.00,143426.00,ABOVE RANGE,65011.00,Declined
44,14730,2026-06-14,181000.00,Rescinded,,6866,596,DevOps Engineer,79401.00,126905.00,ABOVE RANGE,77847.00,Rescinded
117,16494,2026-05-31,181000.00,Declined,,6881,999,AI Engineer,91824.00,139209.00,ABOVE RANGE,65483.50,Declined
124,10990,2026-03-03,181000.00,Negotiating,,6542,715,DevOps Engineer,43784.00,92485.00,ABOVE RANGE,112865.50,Negotiating
160,17531,2026-09-12,180000.00,Accepted,2026-10-16,2514,508,ML Engineer,43756.00,70265.00,ABOVE RANGE,122989.50,Accepted
326,1925,2026-07-07,180000.00,Accepted,2026-07-27,8860,384,Java Developer,24330.00,51931.00,ABOVE RANGE,141869.50,Accepted
435,21364,2026-08-19,180000.00,Accepted,2026-09-29,499,308,Data Scientist,57260.00,88440.00,ABOVE RANGE,107150.00,Accepted
544,20910,2026-08-06,180000.00,Accepted,2026-09-07,1467,962,Senior Data Analyst,95067.00,140421.00,ABOVE RANGE,62256.00,Accepted
276,36,2026-05-18,179000.00,Declined,,359,969,Data Analyst,73415.00,116036.00,ABOVE RANGE,84274.50,Declined
540,13142,2026-06-15,179000.00,Extended,,1698,598,Senior Data Analyst,102864.00,160360.00,ABOVE RANGE,47388.00,Extended
242,621,2026-07-20,179000.00,Accepted,2026-08-28,41,787,Data Scientist,55270.00,112932.00,ABOVE RANGE,94899.00,Accepted
36,29189,2026-09-10,178000.00,Rescinded,,9590,730,Senior Data Analyst,47356.00,104410.00,ABOVE RANGE,102117.00,Rescinded
321,21819,2026-07-26,178000.00,Accepted,2026-09-24,8782,410,Data Scientist,106560.00,138680.00,ABOVE RANGE,55380.00,Accepted
299,10360,2026-04-23,177000.00,Declined,,5473,316,AI Engineer,79122.00,119576.00,ABOVE RANGE,77651.00,Declined
309,4409,2026-01-27,177000.00,Accepted,2026-03-18,8706,86,ML Engineer,115029.00,149549.00,ABOVE RANGE,44711.00,Accepted
13,3041,2025-09-25,177000.00,Declined,,1898,893,DevOps Engineer,68862.00,117893.00,ABOVE RANGE,83622.50,Declined
533,25067,2026-06-22,177000.00,Extended,,3847,129,AI Engineer,95256.00,118696.00,ABOVE RANGE,70024.00,Extended
325,14776,2026-02-01,177000.00,Accepted,2026-02-24,6998,343,Senior Java Developer,95403.00,133346.00,ABOVE RANGE,62625.50,Accepted
450,1637,2025-11-06,177000.00,Declined,,5231,345,Senior Java Developer,69966.00,103372.00,ABOVE RANGE,90331.00,Declined
171,8532,2025-10-26,176000.00,Negotiating,,2623,208,Business Analyst,51756.00,110524.00,ABOVE RANGE,94860.00,Negotiating
250,5822,2026-09-03,176000.00,Declined,,6285,750,Data Scientist,92680.00,127709.00,ABOVE RANGE,65805.50,Declined
438,29227,2026-03-21,175000.00,Declined,,5305,90,Data Analyst,54235.00,96742.00,ABOVE RANGE,99511.50,Declined
268,12059,2026-09-14,175000.00,Declined,,8570,395,DevOps Engineer,100160.00,152907.00,ABOVE RANGE,48466.50,Declined
176,24896,2026-09-05,174000.00,Accepted,2026-10-15,2332,803,Java Developer,29852.00,75367.00,ABOVE RANGE,121390.50,Accepted
557,16686,2026-07-29,174000.00,Accepted,2026-08-20,3563,209,AI Engineer,82544.00,103850.00,ABOVE RANGE,80803.00,Accepted
461,24605,2026-06-11,173000.00,Accepted,2026-07-04,8763,902,Senior Java Developer,102416.00,131089.00,ABOVE RANGE,56247.50,Accepted
92,29058,2026-05-24,173000.00,Accepted,2026-07-04,531,21,ML Engineer,112016.00,148473.00,ABOVE RANGE,42755.50,Accepted
75,3718,2026-03-13,173000.00,Declined,,2057,860,DevOps Engineer,72930.00,128205.00,ABOVE RANGE,72432.50,Declined
402,14992,2026-08-04,173000.00,Declined,,1105,59,Data Scientist,103838.00,145595.00,ABOVE RANGE,48283.50,Declined
127,16365,2026-07-02,173000.00,Accepted,2026-08-05,266,772,Senior Data Analyst,70540.00,100207.00,ABOVE RANGE,87626.50,Accepted
248,10128,2026-02-16,172000.00,Accepted,2026-03-10,3636,555,Senior Java Developer,59515.00,93525.00,ABOVE RANGE,95480.00,Accepted
313,1066,2026-04-12,172000.00,Accepted,2026-05-22,3745,552,Data Analyst,45028.00,93906.00,ABOVE RANGE,102533.00,Accepted
115,25669,2026-03-27,172000.00,Accepted,2026-04-24,6267,853,Senior Java Developer,83712.00,110605.00,ABOVE RANGE,74841.50,Accepted
271,25589,2026-03-22,172000.00,Accepted,2026-04-30,193,728,Senior Java Developer,78204.00,99822.00,ABOVE RANGE,82987.00,Accepted
184,20977,2026-05-20,172000.00,Accepted,2026-06-08,3519,702,Senior Java Developer,108790.00,159196.00,ABOVE RANGE,38007.00,Accepted
507,12545,2025-06-06,172000.00,Declined,,3811,345,Senior Java Developer,69966.00,103372.00,ABOVE RANGE,85331.00,Declined
347,23036,2026-05-22,171000.00,Accepted,2026-07-19,6458,638,ML Engineer,57088.00,101831.00,ABOVE RANGE,91540.50,Accepted
396,7860,2026-05-28,171000.00,Accepted,2026-06-26,3571,969,Data Analyst,73415.00,116036.00,ABOVE RANGE,76274.50,Accepted
564,3906,2026-06-28,171000.00,Accepted,2026-08-14,7707,181,Full Stack Developer,73835.00,93997.00,ABOVE RANGE,87084.00,Accepted
42,25174,2026-07-27,170000.00,Negotiating,,9378,156,Data Scientist,106096.00,131138.00,ABOVE RANGE,51383.00,Negotiating
12,15007,2025-09-03,170000.00,Accepted,2025-11-01,5598,9,ML Engineer,91704.00,144975.00,ABOVE RANGE,51660.50,Accepted
