"placement_id","offer_id","candidate_id","job_id","placement_date","joining_date","placement_status","department","designation","job_code","job_title","job_status","department_id","end_client_id","vendor_id","location_id","assigned_recruiter_id","offer_date","offered_salary","offer_status","days_to_placement","days_from_placement_to_joining","placement_outcome"
61,304,1351,828,2026-09-21,2026-10-30,Active,Information Technology,Senior Java Developer,JOB-2026-00828,Senior Java Developer,Closed,6,2,16,19,1,2026-09-14,186000.00,Accepted,51,39,SUCCESSFUL
268,380,7890,393,2026-09-21,2026-10-28,Active,Data & Analytics,Java Developer,JOB-2026-00393,Java Developer,Open,2,9,17,3,3,2026-09-19,188000.00,Accepted,60,37,SUCCESSFUL
112,160,2514,508,2026-09-17,2026-10-16,Active,Data & Analytics,ML Engineer,JOB-2026-00508,ML Engineer,Open,2,5,17,5,1,2026-09-12,180000.00,Accepted,48,29,SUCCESSFUL
79,152,7370,193,2026-09-17,2026-11-09,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00193,Senior Data Analyst,Open,2,10,16,16,1,2026-09-10,155000.00,Accepted,56,53,SUCCESSFUL
81,406,7869,942,2026-09-17,2026-10-08,Active,Technology,Data Analyst,JOB-2026-00942,Data Analyst,Open,7,8,11,12,4,2026-09-10,186000.00,Accepted,59,21,SUCCESSFUL
191,162,6845,924,2026-09-17,2026-10-01,Active,Technology,Senior Data Analyst,JOB-2026-00924,Senior Data Analyst,Open,7,21,16,2,1,2026-09-12,136000.00,Accepted,61,14,SUCCESSFUL
157,489,6408,251,2026-09-16,2026-10-08,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00251,Senior Data Analyst,Filled,2,6,17,8,1,2026-09-12,159000.00,Accepted,47,22,SUCCESSFUL
223,213,9581,898,2026-09-16,2026-10-19,Active,Information Technology,Full Stack Developer,JOB-2026-00898,Full Stack Developer,Open,6,3,15,13,3,2026-09-12,156000.00,Accepted,47,33,SUCCESSFUL
153,123,1618,672,2026-09-14,2026-11-02,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00672,Senior Data Analyst,Open,2,23,14,2,4,2026-09-07,119000.00,Accepted,47,49,SUCCESSFUL
226,283,737,198,2026-09-14,2026-10-29,Active,Data & Analytics,AI Engineer,JOB-2026-00198,AI Engineer,Filled,2,1,12,12,4,2026-09-13,102000.00,Accepted,49,45,SUCCESSFUL
5,137,9412,563,2026-09-14,2026-09-27,Active,Technology,Senior Java Developer,JOB-2026-00563,Senior Java Developer,Filled,7,10,15,18,2,2026-09-11,183000.00,Accepted,52,13,SUCCESSFUL
107,40,8621,441,2026-09-14,2026-10-08,Completed Guarantee Period,Data & Analytics,Senior Java Developer,JOB-2026-00441,Senior Java Developer,Open,2,23,14,4,1,2026-09-09,188000.00,Accepted,55,24,SUCCESSFUL
166,236,541,311,2026-09-12,2026-10-27,Completed Guarantee Period,Information Technology,DevOps Engineer,JOB-2026-00311,DevOps Engineer,Open,6,22,16,13,4,2026-09-09,141000.00,Accepted,43,45,SUCCESSFUL
