"job_id","job_code","job_title","job_status","department_id","end_client_id","vendor_id","location_id","assigned_recruiter_id","experience_required","employment_type","work_mode","bill_rate","bill_rate_type","min_salary","max_salary","opened_date","closed_date","job_age_days","total_applications","screening_count","submitted_to_client_count","interview_count","total_offers","total_hires","total_placements","placement_rate"
882,JOB-2026-00882,Full Stack Developer,Open,7,21,16,10,4,3,Contract-to-Hire,Onsite,62.92,Hourly,34506.00,89694.00,2025-12-02,,254,53,11,1,5,3,2,3,5.66
555,JOB-2026-00555,Senior Java Developer,Open,2,7,16,1,3,5,Contract,Hybrid,57.02,Hourly,59515.00,93525.00,2025-04-19,,481,52,11,2,4,3,1,3,5.77
811,JOB-2026-00811,Data Scientist,Closed,2,21,12,6,4,5,Contract-to-Hire,Hybrid,111.77,Hourly,56380.00,114858.00,2026-05-29,2026-08-14,77,49,7,6,7,3,2,3,6.12
755,JOB-2026-00755,AI Engineer,Open,7,3,17,4,1,6,Contract-to-Hire,Onsite,53.54,Hourly,78174.00,129421.00,2026-07-31,,13,46,9,6,4,3,2,3,6.52
772,JOB-2026-00772,Senior Data Analyst,Closed,7,10,12,6,4,5,Full-time,Onsite,99.75,Hourly,70540.00,100207.00,2025-10-01,2025-11-20,50,43,9,5,3,3,2,3,6.98
835,JOB-2026-00835,Senior Java Developer,Closed,7,5,12,21,1,8,Full-time,Hybrid,104.81,Hourly,86552.00,129796.00,2026-01-05,2026-04-13,98,43,7,5,5,4,3,3,6.98
671,JOB-2026-00671,AI Engineer,Closed,7,4,15,4,2,6,Full-time,Remote,62.24,Hourly,87888.00,128961.00,2025-08-27,2025-11-27,92,42,6,9,3,3,1,3,7.14
575,JOB-2026-00575,Java Developer,Open,2,8,14,12,1,2,Contract,Remote,115.13,Hourly,25900.00,48898.00,2025-11-30,,256,42,9,3,4,3,1,3,7.14
509,JOB-2026-00509,Data Scientist,Open,6,6,13,4,4,3,Contract,Onsite,56.20,Hourly,31437.00,70968.00,2026-02-04,,190,56,9,11,6,2,2,2,3.57
962,JOB-2026-00962,Senior Data Analyst,Open,6,6,17,2,1,7,Full-time,Onsite,62.19,Hourly,95067.00,140421.00,2025-11-17,,269,55,9,3,6,3,7,2,3.64
727,JOB-2026-00727,Java Developer,Open,6,8,11,8,1,6,Full-time,Hybrid,66.06,Hourly,62196.00,121555.00,2025-08-29,,349,54,7,13,6,3,2,2,3.70
248,JOB-2026-00248,Java Developer,Open,7,6,16,5,4,6,Contract-to-Hire,Remote,111.36,Hourly,85710.00,111951.00,2026-03-20,,146,54,6,9,9,2,4,2,3.70
763,JOB-2026-00763,AI Engineer,Filled,7,21,17,11,4,5,Full-time,Onsite,101.76,Hourly,57300.00,94531.00,2026-08-01,2026-10-30,90,53,6,8,6,3,0,2,3.77
503,JOB-2026-00503,Business Analyst,Filled,6,1,11,3,3,5,Full-time,Onsite,73.41,Hourly,51990.00,91989.00,2025-10-18,2026-01-03,77,53,9,6,5,3,6,2,3.77
762,JOB-2026-00762,AI Engineer,Closed,7,6,15,9,4,5,Contract,Hybrid,83.28,Hourly,50575.00,83199.00,2025-10-09,2025-12-02,54,52,10,4,3,4,2,2,3.85
606,JOB-2026-00606,Senior Data Analyst,Filled,7,2,14,5,1,7,Contract-to-Hire,Remote,60.01,Hourly,98210.00,131156.00,2025-03-28,2025-06-03,67,52,11,4,4,2,3,2,3.85
551,JOB-2026-00551,Senior Data Analyst,Filled,6,3,17,20,1,4,Contract,Onsite,54.18,Hourly,57968.00,93846.00,2026-03-25,2026-04-29,35,50,14,9,2,2,2,2,4.00
622,JOB-2026-00622,Data Analyst,Closed,7,23,15,13,1,4,Full-time,Hybrid,60.59,Hourly,47184.00,85513.00,2025-06-30,2025-10-22,114,49,9,3,7,4,1,2,4.08
864,JOB-2026-00864,Data Scientist,Filled,7,4,16,21,3,3,Full-time,Hybrid,105.69,Hourly,42471.00,93648.00,2026-07-03,2026-10-03,92,49,10,7,4,2,4,2,4.08
567,JOB-2026-00567,Business Analyst,Filled,6,7,16,17,1,6,Contract-to-Hire,Onsite,110.08,Hourly,67932.00,88740.00,2025-04-30,2025-07-03,64,49,11,5,7,2,4,2,4.08
173,JOB-2026-00173,Senior Data Analyst,Open,7,22,12,14,4,5,Full-time,Hybrid,51.03,Hourly,62825.00,90549.00,2025-09-02,,345,49,7,11,5,2,0,2,4.08
508,JOB-2026-00508,ML Engineer,Open,2,5,17,5,1,4,Contract,Onsite,116.17,Hourly,43756.00,70265.00,2026-07-09,,35,47,5,6,7,2,4,2,4.26
357,JOB-2026-00357,Business Analyst,Closed,2,2,16,20,2,3,Full-time,Onsite,73.12,Hourly,37137.00,69821.00,2025-01-02,2025-04-28,116,47,6,1,8,3,4,2,4.26
982,JOB-2026-00982,Full Stack Developer,Filled,2,9,11,13,2,6,Contract-to-Hire,Remote,92.85,Hourly,81300.00,134983.00,2025-02-07,2025-05-05,87,47,7,6,2,3,2,2,4.26
206,JOB-2026-00206,DevOps Engineer,Open,2,1,13,1,2,6,Contract,Hybrid,44.69,Hourly,76908.00,133978.00,2026-05-30,,75,46,9,2,7,3,2,2,4.35
924,JOB-2026-00924,Senior Data Analyst,Open,7,21,16,2,1,5,Full-time,Hybrid,107.43,Hourly,68370.00,98794.00,2025-04-29,,471,46,7,4,5,2,2,2,4.35
284,JOB-2026-00284,AI Engineer,Open,7,10,15,18,1,7,Full-time,Remote,100.19,Hourly,98917.00,146428.00,2025-06-03,,436,46,10,3,5,3,2,2,4.35
181,JOB-2026-00181,Full Stack Developer,Filled,2,6,17,18,1,5,Contract,Remote,57.43,Hourly,73835.00,93997.00,2025-04-06,2025-07-19,104,46,12,5,7,2,3,2,4.35
148,JOB-2026-00148,Java Developer,Open,6,6,15,15,4,4,Contract,Remote,104.23,Hourly,52472.00,103028.00,2026-07-01,,43,46,11,4,8,2,1,2,4.35
851,JOB-2026-00851,Business Analyst,Filled,6,3,11,9,3,5,Contract-to-Hire,Onsite,70.52,Hourly,59510.00,108232.00,2025-11-02,2026-01-14,73,46,16,7,7,4,0,2,4.35
715,JOB-2026-00715,DevOps Engineer,Closed,6,7,11,8,2,4,Contract,Remote,87.09,Hourly,43784.00,92485.00,2025-05-01,2025-06-28,58,44,11,3,5,3,1,2,4.55
954,JOB-2026-00954,DevOps Engineer,Filled,6,4,17,14,3,3,Contract,Remote,100.19,Hourly,43911.00,74706.00,2025-09-10,2025-11-10,61,44,4,6,6,3,1,2,4.55
894,JOB-2026-00894,AI Engineer,Closed,6,1,16,3,1,8,Contract-to-Hire,Remote,41.72,Hourly,88552.00,140447.00,2025-11-20,2026-02-23,95,44,9,9,5,2,1,2,4.55
803,JOB-2026-00803,Java Developer,Filled,2,8,13,6,2,2,Full-time,Remote,114.97,Hourly,29852.00,75367.00,2026-07-20,2026-08-24,35,44,9,4,8,2,1,2,4.55
242,JOB-2026-00242,DevOps Engineer,Closed,6,22,14,8,3,4,Full-time,Onsite,41.02,Hourly,51728.00,98581.00,2025-10-30,2025-12-10,41,44,9,6,3,2,3,2,4.55
410,JOB-2026-00410,Data Scientist,Filled,7,21,11,11,4,8,Contract,Remote,42.62,Hourly,106560.00,138680.00,2026-01-15,2026-01-30,15,43,11,3,3,2,2,2,4.65
58,JOB-2026-00058,Java Developer,Open,7,22,14,13,4,3,Contract,Onsite,103.39,Hourly,35868.00,93341.00,2026-01-28,,197,43,6,6,6,2,2,2,4.65
307,JOB-2026-00307,Senior Data Analyst,Filled,7,2,13,3,2,7,Contract-to-Hire,Hybrid,114.53,Hourly,101444.00,124971.00,2025-01-27,2025-02-21,25,43,7,5,6,2,0,2,4.65
138,JOB-2026-00138,Full Stack Developer,Filled,7,5,17,7,1,7,Contract,Remote,45.84,Hourly,73304.00,129925.00,2026-04-19,2026-06-23,65,40,9,3,4,2,3,2,5.00
724,JOB-2026-00724,Senior Data Analyst,Closed,2,1,14,12,1,6,Contract,Onsite,91.02,Hourly,87936.00,128972.00,2025-09-28,2025-12-08,71,39,11,2,8,2,2,2,5.13
364,JOB-2026-00364,Data Analyst,Closed,2,22,13,19,1,6,Full-time,Onsite,91.11,Hourly,64278.00,106120.00,2026-04-24,2026-08-01,99,39,3,4,9,3,3,2,5.13
785,JOB-2026-00785,Data Scientist,Open,6,7,16,14,2,6,Contract,Hybrid,62.80,Hourly,69234.00,92133.00,2025-08-05,,373,37,7,6,7,2,0,2,5.41
198,JOB-2026-00198,AI Engineer,Filled,2,1,12,12,4,7,Full-time,Onsite,117.96,Hourly,83657.00,131170.00,2026-05-19,2026-06-14,26,36,5,3,6,3,3,2,5.56
360,JOB-2026-00360,Senior Java Developer,Filled,7,9,11,19,2,10,Contract-to-Hire,Remote,66.54,Hourly,104580.00,158729.00,2025-11-03,2026-01-28,86,34,10,3,5,2,1,2,5.88
682,JOB-2026-00682,Full Stack Developer,Filled,6,4,13,13,2,5,Contract,Remote,87.52,Hourly,65145.00,91555.00,2025-02-20,2025-04-30,69,71,10,5,11,3,2,1,1.41
7,JOB-2026-00007,Business Analyst,Open,7,1,17,5,1,5,Contract,Remote,52.80,Hourly,64825.00,99198.00,2025-05-22,,448,59,9,7,6,2,1,1,1.69
145,JOB-2026-00145,Data Scientist,Open,7,8,11,14,4,7,Contract-to-Hire,Hybrid,82.40,Hourly,97153.00,132945.00,2025-08-19,,359,58,11,10,5,1,2,1,1.72
795,JOB-2026-00795,Data Analyst,Filled,6,6,11,8,2,5,Contract-to-Hire,Hybrid,96.72,Hourly,55315.00,93322.00,2025-10-01,2026-01-05,96,56,11,7,4,1,2,1,1.79
563,JOB-2026-00563,Senior Java Developer,Filled,7,10,15,18,2,6,Full-time,Hybrid,54.06,Hourly,83688.00,104986.00,2026-01-26,2026-03-20,53,56,11,12,3,1,2,1,1.79
193,JOB-2026-00193,Senior Data Analyst,Open,2,10,16,16,1,4,Full-time,Remote,80.86,Hourly,50976.00,99112.00,2025-10-06,,311,55,5,6,7,1,4,1,1.82
736,JOB-2026-00736,Java Developer,Filled,6,3,16,5,1,5,Contract,Hybrid,87.48,Hourly,66745.00,116220.00,2026-03-23,2026-07-09,108,53,10,5,3,1,1,1,1.89
748,JOB-2026-00748,Data Analyst,Open,6,7,12,18,2,4,Full-time,Remote,102.36,Hourly,55908.00,90256.00,2025-12-14,,242,52,11,5,5,1,3,1,1.92
361,JOB-2026-00361,Data Analyst,Closed,7,2,17,11,3,4,Contract-to-Hire,Remote,42.53,Hourly,52292.00,107306.00,2025-06-19,2025-09-18,91,52,12,6,6,2,3,1,1.92
712,JOB-2026-00712,AI Engineer,Open,2,23,16,8,1,5,Contract-to-Hire,Remote,45.83,Hourly,52430.00,81558.00,2025-07-29,,380,52,17,4,1,2,3,1,1.92
337,JOB-2026-00337,ML Engineer,Open,6,21,13,4,3,5,Full-time,Remote,63.40,Hourly,61110.00,84588.00,2026-04-22,,113,52,11,3,6,1,4,1,1.92
990,JOB-2026-00990,AI Engineer,Filled,2,3,15,19,3,6,Contract-to-Hire,Onsite,108.26,Hourly,81138.00,116546.00,2025-10-21,2025-12-18,58,52,9,5,10,2,3,1,1.92
614,JOB-2026-00614,Full Stack Developer,Open,2,9,17,11,2,5,Contract-to-Hire,Onsite,99.30,Hourly,63690.00,103636.00,2025-04-25,,475,51,9,9,3,1,1,1,1.96
821,JOB-2026-00821,Business Analyst,Closed,2,6,16,11,3,5,Contract,Hybrid,64.64,Hourly,61030.00,96019.00,2025-09-27,2025-11-20,54,51,8,9,9,3,1,1,1.96
425,JOB-2026-00425,DevOps Engineer,Closed,6,7,12,19,4,5,Full-time,Onsite,55.94,Hourly,52705.00,111415.00,2026-01-20,2026-03-10,49,51,8,7,2,1,3,1,1.96
834,JOB-2026-00834,AI Engineer,Closed,2,2,17,16,3,3,Contract,Remote,80.70,Hourly,42018.00,101657.00,2026-01-02,2026-02-12,41,51,11,6,1,1,2,1,1.96
393,JOB-2026-00393,Java Developer,Open,2,9,17,3,3,4,Contract-to-Hire,Remote,100.84,Hourly,49920.00,96174.00,2025-02-26,,533,51,6,8,4,2,4,1,1.96
725,JOB-2026-00725,Business Analyst,Filled,6,5,17,5,4,6,Contract,Onsite,90.43,Hourly,75432.00,99629.00,2026-03-28,2026-05-17,50,51,8,11,6,2,3,1,1.96
113,JOB-2026-00113,DevOps Engineer,Open,7,21,13,17,1,5,Contract-to-Hire,Remote,53.49,Hourly,53230.00,89653.00,2025-07-21,,388,51,11,4,5,1,1,1,1.96
244,JOB-2026-00244,ML Engineer,Open,2,3,16,11,2,6,Full-time,Onsite,111.56,Hourly,75366.00,123284.00,2025-04-29,,471,51,6,8,8,1,7,1,1.96
823,JOB-2026-00823,Senior Java Developer,Filled,6,9,14,4,3,8,Full-time,Remote,59.45,Hourly,101344.00,157917.00,2026-07-28,2026-10-30,94,51,14,4,2,1,4,1,1.96
700,JOB-2026-00700,Data Analyst,Closed,7,4,17,20,3,6,Contract,Onsite,75.13,Hourly,81810.00,127415.00,2025-02-26,2025-04-05,38,50,10,6,5,2,3,1,2.00
666,JOB-2026-00666,AI Engineer,Filled,2,6,11,1,2,7,Contract-to-Hire,Remote,51.09,Hourly,71694.00,126818.00,2025-01-24,2025-03-07,42,50,10,7,7,3,2,1,2.00
311,JOB-2026-00311,DevOps Engineer,Open,6,22,16,13,4,5,Contract,Hybrid,61.04,Hourly,57720.00,104703.00,2026-07-29,,15,50,16,7,4,2,0,1,2.00
93,JOB-2026-00093,DevOps Engineer,Open,6,4,13,7,4,3,Contract,Onsite,120.00,Hourly,40404.00,93728.00,2026-01-06,,219,50,10,12,3,1,1,1,2.00
828,JOB-2026-00828,Senior Java Developer,Closed,6,2,16,19,1,5,Contract,Hybrid,117.94,Hourly,70650.00,112084.00,2026-07-06,2026-10-10,96,50,10,9,5,2,0,1,2.00
930,JOB-2026-00930,Java Developer,Filled,6,8,14,8,3,3,Contract,Hybrid,89.31,Hourly,42276.00,87741.00,2025-12-02,2026-01-07,36,50,7,5,10,2,2,1,2.00
162,JOB-2026-00162,Full Stack Developer,Filled,2,23,17,15,3,3,Contract,Hybrid,74.45,Hourly,33327.00,73293.00,2025-01-07,2025-03-11,63,50,11,4,4,1,4,1,2.00
275,JOB-2026-00275,DevOps Engineer,Filled,6,10,15,19,4,4,Contract-to-Hire,Onsite,112.50,Hourly,48624.00,73635.00,2025-03-19,2025-07-16,119,50,12,8,5,1,2,1,2.00
957,JOB-2026-00957,DevOps Engineer,Closed,2,10,16,16,2,7,Contract,Remote,47.28,Hourly,88753.00,128947.00,2026-04-27,2026-08-08,103,49,10,8,3,1,0,1,2.04
379,JOB-2026-00379,DevOps Engineer,Open,7,8,16,21,1,5,Contract-to-Hire,Remote,103.85,Hourly,69040.00,122918.00,2025-03-22,,509,49,13,5,6,1,1,1,2.04
396,JOB-2026-00396,DevOps Engineer,Open,6,21,11,20,4,4,Contract-to-Hire,Onsite,59.41,Hourly,58984.00,94252.00,2025-03-15,,516,49,14,3,2,1,2,1,2.04
664,JOB-2026-00664,Senior Data Analyst,Filled,7,2,14,7,1,7,Contract,Onsite,73.59,Hourly,90720.00,124349.00,2026-02-05,2026-04-13,67,49,8,9,4,1,1,1,2.04
408,JOB-2026-00408,Data Analyst,Open,2,9,14,4,4,5,Contract-to-Hire,Remote,79.62,Hourly,51810.00,74435.00,2026-04-27,,108,49,8,4,4,1,7,1,2.04
35,JOB-2026-00035,Senior Java Developer,Filled,7,3,17,5,4,8,Contract-to-Hire,Remote,82.73,Hourly,81896.00,127380.00,2025-12-11,2026-03-28,107,49,8,5,5,2,4,1,2.04
350,JOB-2026-00350,DevOps Engineer,Filled,6,10,17,6,2,7,Full-time,Hybrid,54.31,Hourly,79163.00,123980.00,2026-07-18,2026-09-13,57,49,13,6,8,1,2,1,2.04
74,JOB-2026-00074,Data Analyst,Closed,7,2,14,12,4,3,Contract,Remote,87.49,Hourly,36519.00,59953.00,2025-05-10,2025-08-28,110,49,13,7,4,2,0,1,2.04
613,JOB-2026-00613,ML Engineer,Open,2,1,16,7,3,6,Full-time,Onsite,77.76,Hourly,80544.00,116729.00,2025-11-24,,262,49,11,5,7,1,2,1,2.04
784,JOB-2026-00784,Senior Data Analyst,Open,7,4,13,11,3,6,Contract-to-Hire,Onsite,105.86,Hourly,84000.00,142432.00,2025-01-28,,562,49,8,7,7,1,0,1,2.04
945,JOB-2026-00945,Senior Data Analyst,Open,7,5,15,7,4,7,Contract,Remote,72.85,Hourly,91777.00,133887.00,2025-09-05,,342,49,12,5,3,2,3,1,2.04
969,JOB-2026-00969,Data Analyst,Closed,2,8,14,14,1,5,Full-time,Hybrid,67.86,Hourly,73415.00,116036.00,2026-01-04,2026-04-21,107,49,8,9,7,2,3,1,2.04
931,JOB-2026-00931,Data Analyst,Closed,7,2,11,7,3,4,Contract-to-Hire,Hybrid,55.26,Hourly,40000.00,79886.00,2026-04-01,2026-05-06,35,49,9,3,2,1,1,1,2.04
196,JOB-2026-00196,Senior Java Developer,Closed,2,6,12,19,3,5,Full-time,Hybrid,99.17,Hourly,69050.00,107551.00,2025-11-15,2025-12-01,16,48,10,5,7,2,3,1,2.08
787,JOB-2026-00787,Data Scientist,Closed,6,21,16,14,4,5,Contract-to-Hire,Hybrid,64.24,Hourly,55270.00,112932.00,2026-06-04,2026-08-20,77,48,8,5,4,1,2,1,2.08
234,JOB-2026-00234,Java Developer,Closed,6,10,15,16,1,4,Full-time,Hybrid,80.04,Hourly,48536.00,106911.00,2025-10-29,2026-02-02,96,48,7,3,6,1,0,1,2.08
778,JOB-2026-00778,Data Analyst,Closed,2,21,11,12,2,4,Contract,Onsite,53.02,Hourly,43424.00,86943.00,2025-01-09,2025-03-08,58,48,7,5,2,1,3,1,2.08
184,JOB-2026-00184,Data Analyst,Filled,7,4,14,5,1,5,Full-time,Remote,58.10,Hourly,62510.00,97854.00,2026-03-16,2026-03-31,15,48,10,4,3,1,1,1,2.08
695,JOB-2026-00695,Full Stack Developer,Closed,2,6,15,15,3,7,Full-time,Onsite,74.21,Hourly,80514.00,125153.00,2026-03-24,2026-07-05,103,48,12,7,3,1,0,1,2.08
444,JOB-2026-00444,Data Scientist,Open,7,7,14,19,1,7,Full-time,Hybrid,79.24,Hourly,87374.00,118131.00,2026-05-19,,86,48,10,4,6,1,1,1,2.08
