month,applications,screening,submitted_to_client,interviews,offers,hires,placements,application_mom_growth_pct,application_to_placement_rate
2025-01-01,41,6,8,4,1,2,1,,2.44
2025-02-01,105,17,13,10,1,0,0,156.1,0.0
2025-03-01,196,38,16,26,5,7,1,86.67,0.51
2025-04-01,287,65,32,24,4,11,1,46.43,0.35
2025-05-01,469,95,59,51,12,21,3,63.41,0.64
2025-06-01,550,110,71,48,6,8,4,17.27,0.73
2025-07-01,718,149,79,77,7,22,4,30.55,0.56
2025-08-01,835,170,110,70,13,39,5,16.3,0.6
2025-09-01,958,219,114,93,16,32,11,14.73,1.15
2025-10-01,1167,225,154,109,21,39,11,21.82,0.94
2025-11-01,1231,248,138,145,21,43,7,5.48,0.57
2025-12-01,1571,323,172,153,29,54,12,27.62,0.76
2026-01-01,1910,345,230,204,36,74,16,21.58,0.84
2026-02-01,1842,372,218,174,36,88,13,-3.56,0.71
2026-03-01,2281,423,271,209,42,81,18,23.83,0.79
2026-04-01,2446,502,296,221,49,92,31,7.23,1.27
2026-05-01,3100,639,385,292,58,126,30,26.74,0.97
2026-06-01,3764,735,468,385,65,149,41,21.42,1.09
2026-07-01,6136,1223,743,633,135,230,70,63.02,1.14
2026-08-01,393,81,46,30,11,13,7,-93.6,1.78
